S/N,Subject Description,Topic ,Text
,,,"·       Device management: This type of system calls are used to manage devices. Some examples are: request device, release device, read, write, reposition, get device attributes, set device attributes, logically attach or detach devices. "
,,,"·       Information maintenance: This type of system calls are used to get information from the computer. Some examples are: get time or date, set time or date; get system data, set system data; get process, file, or device attributes; set process, file, or device attributes. "
,,,"·       Communication: This type of systems calls are used for communication. Some examples are: create, delete communication connection; send, receive messages; and transfer status information."
7.      ,,Process Scheduling,"Once the job scheduler has moved a job from new to ready state, it creates one or more processes for this job. The process scheduling module decides which processes in the ready state get the processor, when, and for how long? Specifically, the process scheduler performs the following tasks:"
,,,"1.     Keeping track of the status of the process (all processes are either running, ready, or blocked). The module that performs this function has been called the traffic controller. "
,,,2.     Deciding which process gets a processor and for how long. This is performed by the processor scheduler. 
,,,3.     Allocating a processor to a process. This requires resetting of processor registers to correspond to the process’ correct state. This task is performed by the traffic controller. 
,,,"4.     Deallocating a processor, such as when the running process exceeds its current quantum or must wait for an I/O completion. This requires that all processor state registers be saved to allow future reallocation. This task is performed by the traffic controller."
8.      ,,Process creation,"When a new process is to be added to those currently being managed, the OS builds the data structures that are used to manage the process and allocates address in main memory to the process. These actions constitute the creation of a new process. In process creation, parents process create children processes, which in turn can create other processes forming a tree of processes. Resources are shared among parents and children and parents and children execute jobs concurrently."
9.      ,,Process Termination,"A process terminates when it finishes executing its final statement and asks the operating system to delete it by using the exit() system call. At that point, the process may return a status value (typically an integer) to its parent process (via the wait() system call). All the resources of the process—including physical and virtual memory, open files, and I/O buffers—are deallocated by the operating system. "
,,,"A parent may terminate the execution of one of its children for a variety of reasons, such as these: "
,,,"• The child has exceeded its usage of some of the resources that it has been allocated. (To determine whether this has occurred, the parent must have a mechanism to inspect the state of its children.). "
,,,• The task assigned to the child is no longer required. 
,,,"• The parent is exiting, and the operating system does not allow a child to continue if its parent terminates."
10.   ,,Definition of operating System,"An Operating System is intimately tied to the Hardware of the Computer it runs on. It extends the computer’s instruction set and manages its resources. To work, it must know a great deal about the Hardware, at least about how the hardware appears to the Programmer. Operating Systems differ from user (i.e., application) programs in ways other than where they reside. In particular, they are huge, complex, and long-lived. The source code of the heart of an operating system like Linux or Windows is on the order of five million lines of code or more."
11.   ,,Definition of CPU,"The ‘‘Brain’’ of the computer is the CPU. It fetches instructions from memory and executes them. The basic cycle of every CPU is to fetch the first instruction from memory, decode it to determine its type and operands, execute it, and then fetch, decode, and execute subsequent instructions. The cycle is repeated until the program finishes."
12.   ,,Process ,This is a general term for a program which is being executed. All work done by the CPU contributes to the execution of processes. Each process has a descriptive information structure associated with it (normally held by the kernel) called a process control block which keeps track of how far the execution has progressed and what resources the process holds.
,,,"Processes can exchange messages by using four system calls: msgget (), msgsnd (), msgrcv (), and msgctl (). The msgget () function converts a mailbox name to a message queue id, msqid, the internal identifier returned by msgget (), must be passed to all subsequent system calls using this message queue to facilitate interprocess communication."
13.   ,,Thread ,"A Thread (sometimes called a lightweight process) is different from process or task in that a thread is not enough to get a whole program executed. A thread is a kind of stripped down process, it is just one ‘active hand’ in a program, something which the CPU is doing on behalf of a program, but not enough to be called a complete process."
,,,"A Thread is a basic unit of CPU utilization; it comprises a Thread ID, a Program counter, a Register set, and a Stack. It shares with other threads belonging to the same process its code section, data section, and other Operating system resources, such as open files and signals. A traditional (or heavyweight :) process has a single thread of control. If a Process has multiple threads of control, it can perform more than one task at a time."
14.   ,,ENIAC ,"The First General-Purpose Electronic Computer, the ENIAC, had 18000 Vacuum tubes and consumed 140000 watts of power. As a result, it ran up a nontrivial electricity bill. After the invention of the Transistor, Power usage dropped dramatically and the computer industry lost interest in power requirements. However, nowadays power management is back in the spotlight for several reasons, and the operating system is playing a role here."
15.   ,,Battery ,"Batteries come in two general types: Disposable and Rechargeable. Disposable batteries (most commonly AAA, AA, and D cells) can be used to run handheld devices, but do not have enough energy to power notebook computers with large bright screens. A Rechargeable battery, in contrast, can store enough energy to power a notebook for a few hours. Nickel-cadmium batteries used to dominate here, but they gave way to Nickel Metal Hydride Batteries, which last longer and do not pollute the environment quite as badly when they are eventually discarded."
16.   ,,Scheduling,"The aim of processor scheduling is to assign processes to be executed by the processor or processes over time in a way that meets system objectives such as response time, throughput and processor efficiency. "
,,,There are four types of scheduling: 
,,,·       Long-term scheduling: This involves the decision to add to the pool of processes to be executed. It is also known as high-level scheduling. 
,,,·       Medium-term scheduling: This involves the decision to add to the number of processes that are partially or fully in main memory.
,,,·       Short-term scheduling: This involves the decision as to which available process will be executed by the processor. It is also known as low-level scheduling or the dispatcher.
,,,·       I/O scheduling: This involves the decision as to which process’s pending I/O requests shall be handled by the available I/O device.
,,,
17.   ,,Mutual Exclusions with Semaphores,A semaphore is a non-negative integer value. Two atomic operations are supported on a semaphore: 
,,,"• down = decrement the value, since the value cannot be negative, the process blocks if the value is zero. "
,,,"• up = increment the value, if there are any processes waiting to perform a down, then they are unblocked.  "
,,,v  Initializing a semaphore to 1 creates a mutual exclusion (mutex) semaphore. 
,,,v  Initializing a semaphore to 0 creates a signaling semaphore. 
,,,v  Initializing a semaphore to other values can be used for resource allocation and synchronization.
,,,
18.   , ,What are Monitors?,"Monitors provide a structured concurrent programming primitive, which is used by processes to ensure exclusive access to resources, and for synchronizing and communicating among users. A monitor module encapsulates both a resource definition and operations/procedures that exclusively manipulate it. Those procedures are the gateway to the shared resource and called by the processes to access the resource. Only one call to a monitor procedure can be active at a time and this protects data inside the monitor from simultaneous access by multiple users. Thus mutual exclusion is enforced among tasks using a monitor. Processes that attempt monitor entry while the monitor is occupied are blocked on a monitor entry queue. "
,,,"To synchronize tasks within the monitor, a condition variable is used to delay processes executing in a monitor. It may be declared only within a monitor and has no numeric value like semaphores do. Two operations, wait and signal, are defined on condition variables. The wait operation suspends/blocks execution of the calling process if a certain condition is true, then the monitor is unlocked and allows another task to use the monitor. When the same condition becomes false, then the signal operation resumes execution of some processes suspended after a wait on that condition, by placing it in the processor ready queue. If there are several such processes, choose one of them; if there are no waiting processes, the signal operator is ignored. Therefore, the introduction of condition variables allows more than one process to be in the same monitor at the same time, although only one of them will be actually active within that monitor."
,,,"A condition variable is associated with a queue of the processes that are currently waiting on that condition. First-in-first-out (FIFO) discipline is generally used with queues, but priority queues can also be implemented by specifying the priority of the process to be delayed as a parameter in the wait operation. (Condition variables are assumed to be fair in the sense that a process will not remain suspended forever on a condition variable that is signaled infinitely often.) Therefore, monitors allow flexibility in scheduling of the processes waiting in queues."
19.   ,,Messaging passing,Messaging passing system allow processes to communicate with one another without the need to resort to shared data. An IPC facility provides at least the two operations send (message) and receive (message). Communication between processes takes place by calls to send() and receive() primitives. There are different design options for implementing each primitive. Message passing may be either blocking or non-blocking—also known as synchronous and asynchronous. .Processes communicates with each other directly or indirectly without resorting to shared variables. Processes must name each other explicitly.
20.   ,,Deadlock,"Deadlock can be defined as the permanent blocking of a set of processes that either compete for system resources or communicate with each other. A set of processes is deadlock when each process in the set is blocked awaiting an event (typically the freeing up of some requested resources) that can only be triggered by another blocked process in the set. Deadlock is permanent when none of the events is ever triggered. Unlike other problems in concurrent process management, there is no efficient solution in the general case. A common example is the traffic deadlock."
21.   ,,Deadlock Prevention,"The strategy of deadlock prevention is, simply to design a system in such a way that the possibility of deadlock is excluded. We can view deadlock prevention methods as falling into two classes. An indirect method of deadlock prevention is to prevent the occurrence of one of the three necessary conditions listed previously (items 1 through 3). A direct method of deadlock prevention is to prevent the occurrence of a circular wait (item 4). We now examine techniques related to each of the four conditions. "
,,,"v  Mutual Exclusion: In general, the first of the four listed conditions cannot be disallowed. If access to a resource requires mutual exclusion, then mutual exclusion must be supported by the operating system. Some resources, such as files, may allow multiple accesses for reads but only exclusive access for writes. Even in this case, deadlock can occur if more than one process requires write permission."
,,,"v  Hold and Wait: The hold-and-wait condition can be prevented by requiring that a process request all of its required resources at one time and blocking the process until all requests can be granted simultaneously. This approach is inefficient in two ways. First, a process may be held up for a long time waiting for all of its resource requests to be fulfilled, when in fact it could have proceeded with only some of the resources. Second, resources allocated to a process may remain unused for a considerable period during which time they are denied to other processes. Another problem is that a process may not know in advance all of the resources that it will require. There is also the practical problem created by the use of modular programming or a multithreaded structure for an application. An application would need to be aware of all resources that will be required at all levels or in all modules to make the simultaneous request. "
,,,"v  No preemption: This condition can be prevented in several ways. First, if a process holding certain resources is denied a further request, that process must release its original resources and, if necessary, request them again together with the additional resource. Alternatively, if a process requests a resource that is currently held by another process, the operating system may preempt the second process and require it to release its resources. This latter scheme would prevent deadlock only if no two processes possessed the same priority. This approach is practical only when applied to resources whose state can be easily saved and restored later, as is the case with a processor. "
,,,"v  Circular wait: The circular wait condition can be prevented by defining a linear ordering of resource types. If a process has been allocated resources of type R, then it may subsequently request only resources of types following R in the ordering."
22.   ,,Deadlock Avoidance,"An approach to solving the deadlock problem that differs subtly from deadlock prevention is deadlock avoidance. In deadlock prevention, we constrain resource requests to prevent at least one of the four conditions of deadlock. This is either done indirectly, by preventing one of the three necessary policy conditions (mutual exclusion, hold and wait, no preemption), or directly, by preventing circular wait. This leads to inefficient use of resources and inefficient execution of processes. Deadlock avoidance, on the other hand, allows the three necessary conditions but makes judicious choices to assure that the deadlock point is never reached. As such, avoidance allows a more concurrency than prevention. With deadlock avoidance, a decision is made dynamically whether the current resource allocation request will, if granted, potentially lead to a deadlock. Deadlock avoidance thus requires knowledge of future process resource requests."
23.   ,,Bugs,"Bugs refer to errors in a program, and the process of removing them (error correction) is called debugging. Debuggers allow us to step through the codes in a program, stepping over or into functions and methods with a view to correcting the errors (bugs) in the program. When we debug in a top-down fashion we initially step over bodies of code we consider irrelevant, narrowing down our search as we come nearer the problem’s manifestation. This strategy requires patience and persistence. Often we step-over a crucial function and find ourselves having to repeat the search aiming to step-into the function the next time round."
24.   ,,Memory Management Concepts,"The main purpose of a computer is to execute programs to produce result (information). These programs, together with the data they access, must be in main memory (at least partially during execution). In a uniprogramming system, main memory is divided into two parts: one part for the operating system and another for the program currently being executed. In a multiprogramming system, the “user” part of memory must be further subdivided to accommodate multiple processes. The task of subdivision is carried out dynamically by the operating system and is known as memory management. To improve both the utilization of the CPU and the speed of its response to users, the computer must keep several processes in memory."
25.   ,,Single Contiguous Memory Allocation,"Single contiguous allocation is a simple memory management scheme that requires no special hardware features. It is usually associated with small stand-alone computers (or minicomputers) with simple batch operating system, e.g. IBM OS/360 Primary Control Program, IBM 1130 Disk Monitor System, IBM 7094 Fortran Monitor System. In such a systems, there is no multiprogramming, and one to one correspondence exists between a user, and a job, or a process. Thus the terms job, or process may be used interchangeably. "
,,, The term job or process is defined as a program in execution or an instance of a program running on a computer. A user is a person that submits a job or request to the computer for execution.
,,," Memory is conceptually divided into three contiguous regions. A portion of memory is permanently allocated to the operating system. All of the remainder of memory is available (and allocated) to the single job being processed. The job actually uses a portion of the allocated memory, leaving an allocated but unused region of memory. For example, if there are 256K bytes of memory, a simple operating system may require 32k bytes, leaving 224k bytes allocated for user jobs. If a typical job requires only 64k bytes, then 160k bytes of memory (over 50 % of the memory) unused."
26.   ,,Translation lookaside buffer (TLB),"A Translation lookaside buffer (TLB) is a CPU cache that memory management hardware uses to improve virtual address translation speed. It was the first cache introduced in processors. All current desktop and server processors (such as x86) use a TLB. A TLB has a fixed number of slots that contain page table entries, which map virtual addresses to physical addresses. It is typically a content-addressable memory (CAM), in which the search key is the virtual address and the search result is a physical address. If the requested address is present in the TLB, the CAM search yields a match quickly, after which the physical address can be used to access memory. This is called a TLB hit. If the requested address is not in the TLB, the translation proceeds by looking up the page table in a process called a page walk. The page walk is a high latency process, as it involves reading the contents of multiple memory locations and using them to compute the physical address. Furthermore, the page walk takes significantly longer if the translation tables are swapped out into secondary storage, which a few systems allow. After the physical address is determined, the virtual address to physical address mapping and the protection bits are entered in the TLB."
27.   ,,Memory Partition Selection Algorithm,v  First -fit An incoming process is placed in the first available hole which can accommodate it. 
,,,"v  Best-fit An incoming process is placed in a hole in which it fits mostly tightly, i.e. for all the choices of hole, the difference between the hole size and the new process size is least. "
,,,"v  Worst-fit An incoming process is placed in the hole which leaves the maximum amount of unused space, which logically must be the current largest hole."
28.   ,,Virtual memory concepts,Virtual Memory refers to the concept whereby a process with a larger size than available memory can be loaded and executed by loading the process in parts. The program memory is divided into pages and the available physical memory into frames. The page size is always equal to the frame size. The page size is generally in a power of 2 to avoid the calculation involved to get the page number and the offset from the CPU generated address. The virtual address contains a page number and an offset. This is mapped to the physical address by a technique of address resolution after searching the Page Map Table.
29.   ,,Demand Paging,"In Virtual Memory Systems the pages are not loaded in memory until they are ""demanded"" by a process; therefore the term, demand paging. Demand paging allows the various parts of a process to be brought into physical memory as the process needs them to execute. This normally involves a memory management unit which looks up the virtual address in a page map to see if it is paged in. If it is not then the operating system will page it in, update the page map and restart the failed access. This implies that the processor must be able to recover from and restart a failed memory access or must be suspended while some other mechanism is used to perform the paging. "
,,,"Paging in a page may first require some other page to be moved from main memory to disk (""paged out"") to make room. If this page has not been modified since it was paged in, it can simply be reused without writing it back to disk. This is determined from the ""modified"" or ""dirty"" flag bit in the page map. A replacement algorithm or policy is used to select the page to be paged out; often this is the least recently used (LRU) algorithm. "
,,,"In computer operating systems, demand paging is an application of virtual memory. In a system that uses demand paging, the operating system copies a disk page into physical memory only if an attempt is made to access it (i.e., if a page fault occurs). It follows that a process begins execution with none of its pages in physical memory, and many page faults will occur until most of a process's working set of pages is located in physical memory. This is an example of a lazy loading techniques."
30.   ,,Prepaging,"A technique whereby the operating system in a paging virtual memory multitasking environment loads all pages of a process's working set into memory before the process is restarted. Under demand paging a process accesses its working set by page faults every time it is restarted. Under prepaging, the system remembers the pages in each process's working set and loads them into physical memory before restarting the process. Prepaging reduces the page fault rate of reloaded processes and hence generally improves CPU efficiency. Prepaging is generally more efficient than demand paging."
,,,
31.   ,,Thrashing,"Thrashing is a degenerate case that occurs when there is insufficient memory at one level in the memory hierarchy to properly contain the working set required by the upper levels of the memory hierarchy. This can result in the overall performance of the system dropping to the speed of a lower level in the memory hierarchy. Therefore, thrashing can quickly reduce the performance of the system to the speed of main memory or, worse yet, the speed of the disk drive. "
,,,"There are two primary causes of thrashing: (1) insufficient memory at a given level in the memory hierarchy, and (2) the program does not exhibit locality of reference. If there is insufficient memory to hold a working set of pages or cache lines, then the memory system is constantly replacing one block (cache line or page) with another. As a result, the system winds up operating at the speed of the slower memory in the hierarchy. A common example occurs with virtual memory. A user may have several applications running at the same time and the sum total of these programs' working sets is greater than all of physical memory available to the program. As a result, as the operating system switches between the applications it has to copy each application's data to and from disk and it may also have to copy the code from disk to memory. Since a context switch between programs is often much faster than retrieving data from the disk, this slows the programs down by a tremendous factor since thrashing slows the context switch down to the speed of swapping the applications to and from disk."
,,,"If the program does not exhibit locality of reference and the lower memory subsystems are not fully associative, then thrashing can occur even if there is free memory at the current level in the memory hierarchy. For example, suppose an eight kilobyte L1 caching system uses a direct mapped cache with 16-byte cache lines (i.e., 512 cache lines). If a program references data objects 8K apart on each access then the system will have to replace the same line in the cache over and over again with each access. This occurs even though the other 511 cache lines are currently unused."
32.   ,,Page replacement algorithm for multiple process,"Up to this point, we have been assuming that there is only one active process. When there are multiple processes, things get more complicated. Algorithms that work well for one process can give terrible results if they are extended to multiple processes in a naive way. "
,,,"LRU would give excellent results for a single process, and all of the good practical algorithms can be seen as ways of approximating LRU. A straightforward extension of LRU to multiple processes still chooses the page frame that has not been referenced for the longest time. However, that is a lousy idea. Consider a workload consisting of two processes. Process A is copying data from one file to another, while process B is doing a CPU-intensive calculation on a large matrix. Whenever process A blocks for I/O, it stops referencing its pages. After a while process B steals all the page frames away from A. When A finally finishes with an I/O operation, it suffers a series of page faults until it gets back the pages it needs, then computes for a very short time and blocks again on another I/O operation. "
,,,"Various specific algorithms have been proposed. As in the single process case, some are theoretically good but unimplementable, while others are easy to implement but bad. The trick is to find a reasonable compromise."
33.   ,,I/O Operations,"There are three techniques used for I/O operations: a. Programmed I/O b. Interrupt-Driven I/O, and c. Direct Memory Access (DMA)"
,,,"v  Programmed I/O: With programmed I/O, data are exchanged between the CPU and I/O module. The CPU executes a program that gives it direct control of the I/O operations including sending a read or write command and transferring the data. When the CPU issues a command to the I/O module, it must wait until the I/O operation is complete. If the CPU is faster than the I/O module, the CPU time is wasted. The I/O module takes no further action to alert the CPU. In particular, it does not interrupt the CPU. Thus it is the responsibility of the CPU to periodically check the status of the I/O module until it finds that the operation is complete."
,,,"v  Interrupt – Driven I/O: With Interrupt-driven I/O, the CPU issues an I/O command, continues to execute other instructions, and is interrupted by the I/O module when the latter has completed its work. The problem with program I/O is that the CPU has to wait a long time for the I/O module to be ready for either reception or transmission of data. The CPU, while waiting, must repeatedly interrogate the status of the I/O module. As a result, the level of performance of the entire system is severely degraded. An alternative is for the CPU to issue an I/O command to a module and then request service when it is ready to exchange data with the CPU. The CPU then executes the data transfer, as before, and resumes its former processing."
,,,"v  Direct Memory Access (DMA): With this technique, the I/O module and the main memory exchange data directly without CPU involvement. DMA involves an additional module on the system bus. The DMA module is capable of mimicking the CPU and indeed capable of taking over control of the system from the CPU. The technique works as follows: when the CPU wishes to read or write a block of data, it issues a command to the DMA module, by sending to the DMA module the following information: "
,,,·       Whether a read or write is requested. 
,,,·       The address of the I/O device involved. 
,,,·       The starting location in memory to read from or write to. 
,,,·       The number of words to be read or written.
34.   ,,File Concepts,"For most users, the file system is the most visible aspect of an operating system. It provides the mechanism for on-line storage of and access to both data and programs of the operating system and all the users of the computer system. The file system consists of two distinct parts: a collection of files, each storing related data, and a directory structure, which organizes and provides information about all the files in the system. Computers can store information on several different storage media, such as magnetic disks, magnetic tapes, and optical disks. So that the computer system will be convenient to use, the operating system provides a uniform logical view of information storage. The operating system abstracts from the physical properties of its storage devices to define a logical storage unit (the file). Files are mapped, by the operating system, onto physical devices. These storage devices are usually nonvolatile, so the contents are persistent through power failures and system reboots. A file is a named collection of related information that is recorded on secondary storage. From a user’s perspective, a file is the smallest allotment of logical secondary storage; that is, data cannot be written to secondary storage unless they are within a file. Commonly, files represent programs (both source and object forms) and data. Data files may be numeric, alphabetic, or alphanumeric etc. Files may be free form, such as text files, or may be formatted rigidly. In general, a file is a sequence of bits, bytes, lines, or records, the meaning of which is defined by the file’s creator and user. The concept of a file is thus extremely general. The information in a file is defined by its creator. Many different types of information may be stored in a file – source programs, object programs, executable programs, numeric data, text, payroll records, graphic images, sound recordings, and so on."
35.   ,,File Attributes,"A file is named, for the convenience of its human users, and is referred to by its name. A name is usually a string of characters, such as example.c. Some systems differentiate between upper and lowercase characters in names, whereas other systems consider the two cases to be equivalent. When a file is named, it becomes independent of the process, the user, and even the system that created it. For instance, one user might create the file example.c, whereas another user might edit that file by specifying its name. The file’s owner might write the file to a floppy disk, send it in an e-mail, or copy it across a network, and it could still be called example.c on the destination system. A file has certain other attributes, which vary from one operating system to another, but typically consists of these: Name, Identifier, Type, Location, Size, Protection, Time, date and user identification. "
,,,The information about all files is kept in the directory structure that also resides on secondary storage.
36.   ,,File Operations,"A file is an abstract data type. To define a file properly, we need to consider the operations that can be performed on files. The operating system can provide system calls to create, write, read, reposition, delete, and truncate files. The following are five basic operations of the operating systems on files:"
,,,Ø  Creating a file 
,,,Ø  Writing a file
,,,Ø  Reading a file
,,,Ø  Deleting a file 
,,,Ø  Truncating a file 
,,,These five basic operations certainly comprise the minimal set of required file operations. Other common operations include appending new information to the end of an existing file and renaming the file.
37.   ,,ACCESS METHODS,"Files store information, when it is used, this information must be accessed and read into computer memory. The information in the file can be accessed in several ways. Some systems provide only one access method for files. Other systems, support many access methods."
,,,"Ø  Sequential File: In sequential file, records are stored one after the other in a predetermined form. This order is determined by the key fields on each record such as student matriculation number. An example is a magnetic tape where records/files are stored sequentially. To locate a particular record/file implies searching from the beginning of the sequentially file, one after the other until the record is located."
,,,"Ø  Direct File: Records in a direct file are not stored physically one after the other, rather, they are stored on a disk with a particular address or location that can be determined by their key field. The file allows programs to read and write records rapidly in no particular order. The direct access is based on disk model since disk allows random access to any file block."
,,,Ø  Index Sequential file: This is a compromise between sequential and direct file. It stores records in a file in a sequential order but has an index associated with it. The index lists the key to each group of records stored and the corresponding disk address for that group. This is similar to the index at the end of a book that gives easy access to the content.
38.   ,,Hardware protection,"A properly designed OS must ensure that an incorrect (or malicious) program cannot cause other programs to execute incorrectly. Many programming errors are detected by the hardware. These errors are normally handled by the operating system. If a user program fails in some way, such as by making an attempt either to execute an illegal instruction, or to access memory that is not in the user’s address space, then the hardware will trap to the operating system, just like an interrupt. Whenever a program error occurs, the operating system must normally terminate the program. The following will be discussed: I/O Protection, Memory Protection and CPU Protection."
,,,"Ø  I/O Protection: A user program may disrupt the normal operation of the system by issuing illegal I/O instructions, by accessing memory locations within the operating system itself, or by refusing to relinquish the CPU. We can use various mechanisms to ensure that such disruptions cannot take place in the system. To prevent users from performing illegal I/O, we define all I/O instructions to privileged instructions. Thus, users cannot issue I/O instructions directly, they must do it through the operating system."
,,,"Ø  Memory Protection: To ensure correct operation, we must protect the interrupt vector from Modification by a user program. In addition, we must also protect the interrupt-service routines in the operating system from modification. Even if the user did not gain unauthorized control of the computer, modifying the interrupt service routines would probably disrupt the proper operation of the computer system. We see that we must provide memory protection at least for the interrupt vector and the interrupt-service routines of the operating system. In general, we want to protect the operating system from access by user programs, and in addition, to protect user programs from one another. This protection must be provided by the hardware."
,,,"Ø  CPU Protection: In addition to protecting I/O and memory, we must ensure that the operating system maintains control. We must prevent a user program from getting stuck in an infinite loop or not calling system services, and never returning control to the operating system. To accomplish this goal, we can use a timer. A timer can be set to interrupt the computer after a specified period. The period may be fixed or variable. Before turning over control to the user, the OS ensures that the timer is set to interrupt. If the timer interrupts, control transfers automatically to the OS, which may treat the interrupt as a fatal error or may give the program more time. Clearly, instructions that modify the operation of the timer are privileged."
39.   ,,Context Switch,"When CPU switches to another process, the system must save the state of the old process and load the saved state for the new process. Context-switch time is additional overhead, the system does no useful work while switching. Switching can be time dependent on hardware support. The operating system is responsible for the following activities in connection with process management:"
,,,Ø  Creating and deleting both user and system processes 
,,,Ø  Suspending and resuming processes 
,,,Ø  Providing mechanisms for process synchronization 
,,,Ø  Providing mechanisms for process communication 
,,,Ø  Providing mechanisms for deadlock handling
40.   ,,Cooperating processes,"The concurrent processes executing in the operating system may be either independent processes or cooperating processes. A process is independent if it cannot affect or be affected by the other processes executing in the system. Any process that does not share data (temporary or persistent) with any other process is independent. A process is cooperating if it can affect or be affected by the other processes executing in the system. Clearly, any process that shares data with other processes is a cooperating process. "
,,,There are several reasons for providing an environment that allows process cooperation: 
,,,"·       Information sharing: Since several users may be interested in the same piece of information (for instance, a shared file), we must provide an environment to allow concurrent access to these types of resources. "
,,,"·       Computation speedup: If we want a particular task to run faster, we must break it into subtasks, each of which will be executing in parallel with the others. Notice that such a speedup can be achieved only if the computer has multiple processing elements (such as CPUs or I/O channels). "
